date,dji,test_1_ens_no_indic,test_5_ens_extensive_indic,test_7_ens_extensive_indic-25%,test_6_ens_extensive_indic+25%
2022-04-21,951010.1406,959480.2262,953035.7926,1001592.196,976791.0051
2022-04-22,924185.9857,934082.3228,929460.5827,1000991.812,985570.7
2022-04-25,930693.082,940642.7102,936425.8312,985600.2134,973182.8461
2022-04-26,908572.542,919075.5642,914078.1275,994478.7277,972209.7
2022-04-27,910260.3896,914626.6105,927121.2,994676.5,972209.7
2022-04-28,927055.7962,938677.5365,931784.8537,995223.5923,971042.1
2022-04-29,901384.6692,914464.7739,910081.2695,999685.6191,975711.3
2022-05-02,903688.5896,911222.6108,909081.2,1003397.94,974340.6882
2022-05-03,905527.8394,909062.6965,909582.6,1012476.826,977769.3475
2022-05-04,931010.0873,936837.6342,934371.3545,1001823.683,986860.5723
2022-05-05,901952.0542,911169.5262,911033.454,995811.1756,996208.6
2022-05-06,899257.0289,912960.5708,909499.5404,1001118.16,992114.0895
2022-05-09,881389.8476,899158.4399,900464.9418,999047.2555,989268.7
2022-05-10,879067.6159,895623.0944,897237.4668,997712.7532,1000193.181
2022-05-11,870139.6307,884419.3194,896396.9184,1008440.861,991742.0866
2022-05-12,867302.172,883061.078,902056.0511,1021929.18,991638.1
2022-05-13,880049.4353,889694.1167,909895.2835,1013948.708,997067.0735
2022-05-16,880780.875,889762.1203,912071.627,987545.9877,987938.6
2022-05-17,892566.2852,891859.9415,927647.3085,992088.5921,965175.8
2022-05-18,860735.8174,890968.0906,926719.7,970049.3889,935889.7
2022-05-19,854259.4179,889227.8179,925418.4,980074.2,908275.061
2022-05-20,854499.1205,889092.7592,925206.4,997910.9013,904943.0491
2022-05-23,871400.5515,892195.3125,928932.0024,969699.2371,920186.2
2022-05-24,872722.9194,891763.1015,929093.8406,962799.5364,898158.5
2022-05-25,877961.6743,892981.8063,934812.9428,957428.3825,897689.7327
2022-05-26,892090.6706,897774.5783,950272.3284,974493.8345,914349.3452
2022-05-27,907828.5566,905888.2927,968011.7137,949064.1,913645.9193
