date,dji,test_1_ens_no_indic,test_2_ens_default_indic,test_3_ens_def_mix_indic,test_4_ens_diff_indic,test_5_ens_extensive_indic
2022-04-06,942912.5726,950241.2903,971091.2644,940693.2,881793.7488,946734.5642
2022-04-07,945292.1942,957456.1161,971462.6944,943459.223,884236.1015,952086.7393
2022-04-08,949051.9471,948598.7895,973653.4725,949764.1025,891126.2033,954027.9885
2022-04-11,937762.0112,940968.5406,962907.9532,940662.1,879390.1542,944965.8505
2022-04-12,935364.3452,938710.6376,958784.8995,938304.6359,874537.8843,938538.1408
2022-04-13,944773.3903,949050.2985,965500.334,944324.6,881564.2149,948093.3
2022-04-14,941674.8747,946535.9064,964013.8563,937548.2,873562.639,945694.4398
2022-04-18,940594.1313,943619.3732,962741.9676,936847.5,874528.6806,941859.5196
2022-04-19,954247.4595,961829.8366,970922.4742,955524.9661,885926.8999,953171.7074
2022-04-20,961069.6392,962662.9384,979635.4311,960635.4499,897168.1362,956477.4851
2022-04-21,951010.1406,959480.2262,976013.7584,948625.6,886728.862,953035.7926
2022-04-22,924185.9857,934082.3228,953056.6249,919219.8132,863926.7499,929460.5827
2022-04-25,930693.082,940642.7102,956087.7178,924001.7886,872214.4651,936425.8312
2022-04-26,908572.542,919075.5642,937708.5608,902982.4,851836.6213,914078.1275
2022-04-27,910260.3896,914626.6105,935359.3735,903982.3,858373.4708,927121.2
2022-04-28,927055.7962,938677.5365,955248.3008,919848.3,876771.0602,931784.8537
2022-04-29,901384.6692,914464.7739,937841.8663,893262.5,850640.9824,910081.2695
2022-05-02,903688.5896,911222.6108,936044.9407,893459.1,847308.9056,909081.2
2022-05-03,905527.8394,909062.6965,939013.0307,896023.5143,843827.3146,909582.6
2022-05-04,931010.0873,936837.6342,964201.2095,921780.3,860393.9729,934371.3545
2022-05-05,901952.0542,911169.5262,943914.676,894773.2202,836732.9943,911033.454
2022-05-06,899257.0289,912960.5708,946601.8775,893184.5855,841177.6769,909499.5404
2022-05-09,881389.8476,899158.4399,940488.5941,878100.805,823589.3942,900464.9418
2022-05-10,879067.6159,895623.0944,933679.8518,871821.5,825065.9143,897237.4668
2022-05-11,870139.6307,884419.3194,929159.3416,867900.0403,817653.4684,896396.9184
2022-05-12,867302.172,883061.078,933672.2958,867043.1897,808690.0331,902056.0511
2022-05-13,880049.4353,889694.1167,937540.0394,880486.4739,818884.8054,909895.2835
2022-05-16,880780.875,889762.1203,946616.62,880805.6819,824400.9994,912071.627
2022-05-17,892566.2852,891859.9415,956489.1504,895206.5228,828063.8073,927647.3085
2022-05-18,860735.8174,890968.0906,955532.6715,894311.328,827235.7736,926719.7
2022-05-19,854259.4179,889227.8179,953419.8368,893581.5776,826382.8771,925418.4
2022-05-20,854499.1205,889092.7592,953231.3152,893462.2464,826122.7479,925206.4
2022-05-23,871400.5515,892195.3125,956599.4774,897540.2601,828615.9287,928932.0024
2022-05-24,872722.9194,891763.1015,957101.5757,898482.6258,828287.6312,929093.8406
2022-05-25,877961.6743,892981.8063,960809.7447,899328.9891,829979.4823,934812.9428
2022-05-26,892090.6706,897774.5783,970644.7411,906784.1652,839684.5429,950272.3284
2022-05-27,907828.5566,905888.2927,986674.2552,917063.6146,853514.1986,968011.7137
2022-05-31,901737.5497,903251.3622,978165.3158,911468.7,845990.6313,963029.7446
2022-06-01,896902.4987,898547.1874,979876.7303,904694.6,842678.7405,953401.3493
2022-06-02,908793.9866,909042.86,998620.71,914158.6099,853149.2524,969846.5195
2022-06-03,899265.9977,900396.9538,991717.6369,905739.3744,842505.8959,963142.3659
2022-06-06,899705.577,900787.6247,993469.3098,905468.0394,843175.356,962378.4
2022-06-07,906931.4606,908492.7567,1003973.374,912370.1538,851251.6104,967824.8336
2022-06-08,899572.1123,900964.7124,998027.7307,904655.4327,844789.0746,960174.6
2022-06-09,882130.3096,884062.4294,978355.522,888188.9,831960.0744,939881.3233
2022-06-10,858076.7742,860922.9601,951986.4593,863810.3508,812663.6118,909759.8582
2022-06-13,834131.2385,833672.658,920107.3514,843575.6967,787740.141,880682.7867
2022-06-14,829978.9927,829132.8728,917044.8957,838161.1929,778030.5054,881358.9448
2022-06-15,838280.1744,838256.4528,924059.8549,844561.1639,784136.8796,891262.6847
2022-06-16,818013.4586,814043.1619,897723.1913,824454.0241,771150.9742,863518.7
2022-06-17,816966.8287,811413.8066,898414.9504,823361.5378,768418.9691,867195.3591
2022-06-21,834500.5085,833825.1168,913261.4956,839922.177,799930.0724,879567.948
2022-06-22,833212.5745,830052.7129,907608.2639,839427.561,810166.5787,876741.8017
2022-06-23,838521.5319,832878.4809,903077.1057,846899.0715,825092.8147,880270.5534
2022-06-24,861025.8094,852899.8205,931983.5866,870321.2492,830257.7128,910680.3279
2022-06-27,859319.6505,852966.0413,928857.882,866802.429,837884.2682,904003.992
2022-06-28,845891.5039,838746.9978,916304.4605,849537.0718,831265.5143,885522.4423
2022-06-29,848141.6113,838582.2446,909516.6886,850642.0785,839102.0481,888201.0398
2022-06-30,841202.1429,831527.0231,901549.9253,844122.3134,836386.4961,879448.4878
2022-07-01,849998.9056,840173.4526,910334.7405,853074.2974,843460.5331,889458.7885
2022-07-05,846460.8642,833388.7148,901636.284,852889.7574,833827.7122,891180.1303
2022-07-06,848370.3698,836099.5496,901848.3245,855652.8438,844905.3206,891120.5
2022-07-07,857851.5926,844092.8878,913527.7308,864987.9954,846958.9823,902907.3
2022-07-08,856583.3046,843057.8516,909122.6057,863363.9889,849265.2375,900555.3014
2022-07-11,852092.112,838484.0016,904927.5521,857151.2914,846284.5602,896930.9406
2022-07-12,846830.1342,832188.3352,901550.5304,849520.2173,839946.5075,899546.8654
2022-07-13,841129.9652,826688.732,894047.2495,840727.5881,825770.7226,892291.1557
2022-07-14,837231.676,820287.0741,887428.0547,837875.0476,828102.8646,890802.84
2022-07-15,855219.6161,838076.516,903193.5849,863659.936,858934.5896,906115.3351
2022-07-18,849325.1226,832962.2573,897088.34,853098.3288,844643.8796,901363.7024
2022-07-19,869946.6942,853750.7081,919791.0219,871967.1,863562.5591,927877.2541
2022-07-20,871252.9396,853755.194,919901.916,866925.5,850842.9611,934321.8
2022-07-21,875682.6317,857633.0171,921999.6021,871718.1114,855910.418,940634.0749
2022-07-22,871921.2238,856385.0445,919102.7255,868040.5254,851924.2027,933965.4776
2022-07-25,874401.7447,860239.1307,923992.7107,873295.297,859543.312,935865.4853
2022-07-26,868156.0255,857333.575,925192.53,866240.4851,857831.3709,941993.4
2022-07-27,880074.847,867440.4697,933101.4948,881133.2067,874995.2649,946789.849
